ID,NOM_TOPOGRAPHIE,VILLE,ARRONDISSEMENT,ID_VOIE_PUBLIQUE,LATITUDE,LONGITUDE
15076,Rue Boisfort,Québec,Beauport,128154,46.89672540882152,-71.1739505781101
804,,Québec,La Cité-Limoilou,,46.827514439785055,-71.2499699699469
12186,Rue de la Galène,Québec,Charlesbourg,145308,46.887043308571414,-71.25776342075622
8136,Rue des Calcédoines,Québec,Charlesbourg,123426,46.87734841266895,-71.25113451617148
6076,Avenue de la Caravane,Québec,Charlesbourg,123313,46.87774648225039,-71.24576409146286
12003,Rue des Cornalines,Québec,Charlesbourg,145367,46.88769411381677,-71.25980265785056
11559,Rue De Celles,Québec,Les Rivières,147546,46.82979700365983,-71.31411845853061
7918,Chemin de Château-Bigot,Québec,Charlesbourg,,46.887303469079114,-71.27134130620179
5747,Rue de la Licorne,Québec,Beauport,128116,46.89981199635372,-71.16996174963519
429,Rue de la Rocaille,L'Ancienne-Lorette,,117337,46.803755800073915,-71.34788194185647
9612,Rue des Grandes-Marées,Québec,Sainte-Foy–Sillery–Cap-Rouge,,46.740445019849524,-71.35967403196445
1812,Boulevard Père-Lelièvre,Québec,Les Rivières,104104,46.81237375675114,-71.30515943639594
21203,Rue de Buffalo,Québec,Les Rivières,200339,46.837477788528986,-71.3209644736358
9576,Rue du Viréo,Québec,Sainte-Foy–Sillery–Cap-Rouge,114161,46.75531083652381,-71.36073576207417
9589,Rue Onésime-Voyer,Québec,Sainte-Foy–Sillery–Cap-Rouge,114194,46.74976331186002,-71.35893136713929
19280,Rue Hocquart,Québec,Sainte-Foy–Sillery–Cap-Rouge,117759,46.79283970002543,-71.26698170367405
9965,Rue du Petit-Coteau,Québec,La Haute-Saint-Charles,118892,46.9051936638575,-71.3758551200456
1679,Rue Bernard,Québec,La Haute-Saint-Charles,100737,46.84665893607919,-71.37922972055262
12653,Rue Saint-Olivier,Québec,La Cité-Limoilou,105378,46.811330582036746,-71.22084665296109
6725,Avenue Claire,Québec,Beauport,127286,46.89959557114494,-71.20148219135197
14501,Avenue Claire,Québec,Beauport,127284,46.90049724437359,-71.20185279598
19499,Chemin Saint-Louis,Québec,Sainte-Foy–Sillery–Cap-Rouge,116242,46.77729920257195,-71.25249995810906
138653,Rue Marie-Chapelier,Québec,Beauport,,46.87074738785991,-71.17116058791667
